commune,city_label,wikidata_id,type_label,continent,contientLabel,pays,paysLabel,communauteAutonome,province_label,coordonnees,latitude,longitude,elevation,pointCulminant,pointCulminantLabel,superficie,population
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20542971,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20542458,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q20541111,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q19960515,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12402342,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12401725,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12399990,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12399774,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12399421,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12398932,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12397622,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12397346,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12395261,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12395230,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12393962,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12393674,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12393237,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12392952,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12392534,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12388803,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12388013,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12385096,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12384681,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12384399,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12383225,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1447512,Chantada,Q1447512,city,http://www.wikidata.org/entity/Q12381943,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.768888888 42.608333333),42.608333333,-7.768888888,36,http://www.wikidata.org/entity/Q12393493,Monte Faro,176.7,8171
http://www.wikidata.org/entity/Q1445401,Cospeito,Q1445401,city,,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.558333333 43.236111111),43.236111111,-7.558333333,762,,,145,4172
http://www.wikidata.org/entity/Q1447369,Folgoso do Courel,Q1447369,city,,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.195277777 42.588888888),42.588888888,-7.195277777,612,,,193,921
http://www.wikidata.org/entity/Q917878,Foz,Q917878,city,,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.2550407 43.5688659),43.5688659,-7.2550407,5,,,100.29,10329
http://www.wikidata.org/entity/Q576916,Friol,Q576916,city,,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.7907786 43.0288662),43.0288662,-7.7907786,481,,,295,3608
http://www.wikidata.org/entity/Q1602975,Guitiriz,Q1602975,city,,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.895277777 43.181944444),43.181944444,-7.895277777,445,,,294,5180
http://www.wikidata.org/entity/Q1605449,Guntín,Q1605449,city,,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.658254789 42.9007143),42.9007143,-7.658254789,,,,154.78,2501
http://www.wikidata.org/entity/Q1447358,Lourenzá,Q1447358,city,,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.299444444 43.471111111),43.471111111,-7.299444444,726,,,62.64,2083
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20550210,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20547888,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20547880,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
http://www.wikidata.org/entity/Q11125,Lugo,Q11125,city,http://www.wikidata.org/entity/Q20547656,,http://www.wikidata.org/entity/Q29,Espagne,Galice,Lugo,Point(-7.557222222 43.011666666),43.011666666,-7.557222222,465,,,332000000,100143
